iter	RMSE
0	0.7612612522
1	0.6749937751
2	0.6421096504
3	0.6298400143
4	0.6244381599
5	0.6216338163
6	0.6199013749
7	0.6186522142
8	0.6170790353
9	0.6159334057
10	0.6149424577
11	0.6143421438
12	0.6134791726
13	0.6129380197
14	0.6122267922
15	0.6118487699
16	0.6113865367
17	0.6109532333
18	0.6107710548
19	0.6103877704
20	0.6099790669
21	0.6097581313
22	0.609430412
23	0.6090952978
24	0.6088376273
25	0.6085134673
26	0.6082093363
27	0.6078365239
28	0.6075236165
29	0.6072696022
30	0.60709843
31	0.6069597953
32	0.6067829074
33	0.6065497233
34	0.6063934626
35	0.6061864752
36	0.606032071
37	0.6058595909
38	0.6056803153
39	0.6054713281
40	0.6053465018
41	0.605221236
42	0.6050242606
43	0.6049085631
44	0.6047227646
45	0.6045916312
46	0.6044941502
47	0.604403217
48	0.6042719108
49	0.6041435832
50	0.6040314283
51	0.6039806477
52	0.603730558
53	0.6036331952
54	0.6035480062
55	0.6034784658
56	0.6033638256
57	0.6032960783
58	0.6031783198
59	0.6030623292
60	0.6029301036
61	0.602691515
62	0.6025872641
63	0.6025128281
64	0.6024518327
65	0.6023873873
66	0.6022405004
67	0.6021382253
68	0.60206538
69	0.6019729379
70	0.6019070589
71	0.6018561676
72	0.601796634
73	0.6017335652
74	0.601670444
75	0.6015709789
76	0.6014953431
77	0.601414506
78	0.6013450619
79	0.60127812
80	0.6011532751
81	0.6010556161
82	0.6009382984
83	0.6008751474
84	0.6007813421
85	0.6007302748
86	0.6006957169
87	0.6006640621
88	0.6006054941
89	0.6005486917
90	0.6004775829
91	0.6004076111
92	0.600358032
93	0.6003058084
94	0.6002496274
95	0.6001951055
96	0.6001456935
97	0.6000992897
98	0.6000510731
99	0.6000078698
100	0.5999314565
101	0.5998736103
102	0.5998343802
103	0.5997661423
104	0.599704378
105	0.5996561658
106	0.5996112422
107	0.5995700443
108	0.599539694
109	0.5994787684
110	0.5994453505
111	0.5994091204
112	0.5993798343
113	0.5993566187
114	0.5993201324
115	0.59927052
116	0.5991919897
117	0.5991395714
118	0.5991013335
119	0.5990401259
120	0.5989848398
121	0.5989362934
122	0.5988963136
123	0.5988540268
124	0.5988200003
125	0.5987912416
126	0.5987555957
127	0.5987103131
128	0.5986734211
129	0.5986340214
130	0.5986069568
131	0.5985762987
132	0.5985375557
133	0.5985016345
134	0.5984651165
135	0.5984318576
136	0.5983783846
137	0.5983401963
138	0.5983056
139	0.5982711651
140	0.5982030154
141	0.5981720759
142	0.598142198
143	0.5980991502
144	0.5980754338
145	0.5980103766
146	0.597978001
147	0.5979186638
148	0.5978727128
149	0.5978254587
150	0.5977911712
151	0.5977678539
152	0.597725123
153	0.5976874631
154	0.5976468136
155	0.5976139218
156	0.5975848295
157	0.59755401
158	0.5975246008
159	0.5974924639
160	0.5974642679
161	0.5974267397
162	0.5973967656
163	0.5973614476
164	0.5973314856
165	0.5972957665
166	0.597266505
167	0.5972407287
168	0.5972009784
169	0.5971657846
170	0.5971228605
171	0.5970972052
172	0.597064032
173	0.5970360964
174	0.5970066824
175	0.5969730328
176	0.5969510264
177	0.5969236401
178	0.5968951238
179	0.5968836366
180	0.5968632811
181	0.5968264422
182	0.5968047497
183	0.5967785072
184	0.5967651046
185	0.5967373129
186	0.5966969786
187	0.5966765672
188	0.596660106
189	0.5966273646
190	0.5966119439
191	0.5965877554
192	0.5965692304
193	0.5965537062
194	0.596530737
195	0.5965008048
196	0.5964734184
197	0.5964517575
198	0.5964241614
199	0.5964079555
200	0.5963831712
201	0.5963515203
202	0.5963232721
203	0.596290194
204	0.5962598174
205	0.5962306486
206	0.5962066202
207	0.5961651236
208	0.5961459196
209	0.5961198715
210	0.5960936548
211	0.5960688123
212	0.5960535851
213	0.5960280064
214	0.5959980414
215	0.5959707379
216	0.595948268
217	0.5959246448
218	0.5959034891
219	0.5958842952
220	0.5958621293
221	0.5958340435
222	0.5958086059
223	0.5957880977
224	0.5957713119
225	0.5957479181
226	0.5957230875
227	0.5956981317
228	0.5956774095
229	0.5956582854
230	0.5956384508
231	0.5956146805
232	0.5955831106
233	0.5955638343
234	0.5955412055
235	0.5955176368
236	0.595499727
237	0.5954705996
238	0.5954476119
239	0.5953923899
240	0.5953685372
241	0.5953155645
242	0.5952614736
243	0.595242296
244	0.5952251649
245	0.5951978186
246	0.5951453783
247	0.5951240344
248	0.595101612
249	0.5950809687
250	0.595058223
251	0.5950322453
252	0.5950100287
253	0.5949957095
254	0.5949556581
255	0.5949333263
256	0.5949100885
257	0.594888042
258	0.5948645234
259	0.5948444605
260	0.5948216655
261	0.5948060341
262	0.5947846695
263	0.5947604215
264	0.5947377842
265	0.5947137169
266	0.5946873443
267	0.5946718891
268	0.5946613399
269	0.5946379744
270	0.594613573
271	0.5945930327
272	0.5945776613
273	0.5945527464
274	0.5945282702
275	0.5945024472
276	0.5944802631
277	0.5944619529
278	0.594446259
279	0.5944270505
