iter	Passed	Remaining
0	34	9614
1	56	7802
2	74	6844
3	93	6483
4	113	6250
5	131	6012
6	151	5924
7	170	5784
8	186	5619
9	206	5582
10	228	5579
11	244	5467
12	262	5392
13	281	5350
14	302	5342
15	322	5316
16	343	5311
17	364	5302
18	380	5220
19	399	5190
20	418	5161
21	437	5125
22	455	5087
23	473	5051
24	490	5000
25	509	4977
26	526	4936
27	547	4931
28	567	4909
29	589	4914
30	607	4879
31	623	4831
32	643	4819
33	662	4794
34	681	4772
35	700	4749
36	717	4713
37	737	4697
38	755	4670
39	775	4651
40	794	4630
41	813	4607
42	833	4594
43	850	4560
44	874	4568
45	891	4535
46	908	4504
47	927	4480
48	946	4464
49	971	4468
50	989	4442
51	1005	4409
52	1025	4392
53	1048	4388
54	1070	4378
55	1088	4352
56	1108	4336
57	1128	4321
58	1149	4306
59	1172	4298
60	1193	4283
61	1212	4263
62	1232	4244
63	1249	4216
64	1266	4190
65	1285	4169
66	1305	4148
67	1322	4124
68	1343	4108
69	1360	4082
70	1379	4061
71	1398	4040
72	1417	4018
73	1437	4002
74	1456	3982
75	1475	3959
76	1492	3936
77	1511	3915
78	1530	3893
79	1549	3874
80	1568	3852
81	1587	3832
82	1607	3816
83	1628	3798
84	1646	3777
85	1663	3751
86	1679	3726
87	1700	3710
88	1720	3692
89	1738	3671
90	1761	3658
91	1780	3638
92	1799	3618
93	1816	3595
94	1840	3584
95	1858	3562
96	1877	3541
97	1899	3528
98	1920	3510
99	1938	3489
100	1956	3467
101	1973	3443
102	1992	3423
103	2012	3405
104	2033	3389
105	2052	3369
106	2073	3353
107	2090	3329
108	2108	3307
109	2129	3290
110	2148	3271
111	2166	3249
112	2184	3228
113	2202	3207
114	2222	3188
115	2243	3171
116	2261	3150
117	2281	3131
118	2299	3111
119	2320	3093
120	2340	3075
121	2358	3054
122	2376	3033
123	2396	3015
124	2415	2995
125	2434	2975
126	2453	2955
127	2471	2935
128	2491	2916
129	2513	2900
130	2533	2881
131	2553	2863
132	2571	2841
133	2592	2824
134	2610	2803
135	2631	2786
136	2651	2767
137	2668	2745
138	2683	2722
139	2706	2706
140	2724	2686
141	2741	2664
142	2757	2641
143	2775	2621
144	2797	2604
145	2814	2583
146	2834	2564
147	2853	2545
148	2874	2527
149	2893	2507
150	2912	2488
151	2931	2468
152	2952	2451
153	2974	2433
154	2994	2415
155	3012	2394
156	3030	2374
157	3050	2355
158	3070	2336
159	3087	2315
160	3110	2298
161	3131	2281
162	3150	2261
163	3169	2241
164	3189	2223
165	3209	2204
166	3226	2183
167	3251	2167
168	3273	2150
169	3294	2131
170	3314	2112
171	3331	2092
172	3349	2071
173	3367	2051
174	3387	2032
175	3406	2013
176	3424	1992
177	3443	1973
178	3465	1955
179	3480	1933
180	3499	1914
181	3520	1895
182	3539	1875
183	3560	1857
184	3578	1837
185	3597	1817
186	3614	1797
187	3634	1778
188	3652	1758
189	3670	1738
190	3687	1718
191	3704	1697
192	3721	1677
193	3739	1657
194	3761	1639
195	3780	1620
196	3800	1601
197	3819	1581
198	3840	1563
199	3859	1543
200	3878	1524
201	3894	1503
202	3915	1485
203	3936	1466
204	3957	1448
205	3976	1428
206	3997	1409
207	4016	1390
208	4036	1371
209	4056	1352
210	4079	1334
211	4097	1314
212	4116	1295
213	4138	1276
214	4159	1257
215	4178	1238
216	4200	1219
217	4220	1200
218	4239	1180
219	4257	1161
220	4275	1141
221	4294	1121
222	4311	1102
223	4330	1082
224	4349	1063
225	4368	1043
226	4387	1024
227	4405	1004
228	4422	984
229	4439	965
230	4457	945
231	4475	925
232	4494	906
233	4510	886
234	4531	867
235	4551	848
236	4568	828
237	4590	810
238	4609	790
239	4629	771
240	4647	752
241	4664	732
242	4681	712
243	4699	693
244	4716	673
245	4735	654
246	4753	635
247	4772	615
248	4793	596
249	4812	577
250	4834	558
251	4852	539
252	4871	519
253	4892	500
254	4910	481
255	4931	462
256	4949	442
257	4970	423
258	4988	404
259	5009	385
260	5029	366
261	5049	346
262	5072	327
263	5093	308
264	5113	289
265	5133	270
266	5154	250
267	5172	231
268	5192	212
269	5213	193
270	5232	173
271	5254	154
272	5274	135
273	5295	115
274	5315	96
275	5332	77
276	5352	57
277	5372	38
278	5388	19
279	5411	0
